country,region,happiness,gdp,life_expectancy,freedom,social_support
Burundi,Sub-Saharan Africa,3.775300026,6.492642403,53.40000153,0.626350224,0.490325719
Zambia,Sub-Saharan Africa,3.759399891,8.224720001,55.29937744,0.806500256,0.698824465
Haiti,Latin America and Caribbean,3.720799923,7.411329269,55.59862518,0.537825167,0.593247831
Lesotho,Sub-Saharan Africa,3.652800083,7.960488319,48.00362396,0.738125861,0.780495703
India,South Asia,3.573299885,8.849823952,60.21518707,0.881444871,0.592200935
Malawi,Sub-Saharan Africa,3.538000107,7.062226295,57.59288788,0.803223193,0.544007301
Yemen,Middle East and North Africa,3.527400017,7.759682655,56.72728348,0.599920273,0.817980587
Botswana,Sub-Saharan Africa,3.478899956,9.711203575,58.92445374,0.821328104,0.779121757
Tanzania,Sub-Saharan Africa,3.476200104,7.967665195,57.49607468,0.82153976,0.688933194
Central African Republic,Sub-Saharan Africa,3.475899935,6.625160217,45.20000076,0.640880644,0.319459856
Rwanda,Sub-Saharan Africa,3.312299967,7.600104332,61.09884644,0.900589406,0.54083544
Zimbabwe,Sub-Saharan Africa,3.299200058,7.865711689,55.61725998,0.711457908,0.763092756
South Sudan,Sub-Saharan Africa,2.816600084,7.425359726,51.0,0.451313615,0.553707123
Afghanistan,South Asia,2.566900015,7.462860584,52.59000015,0.396573007,0.470366955
